Sentence_ID	Sentence_Index	Aspect_Index	Aspect	Dep_Words	Aspect_Polarity
2227	32	1	eat family style	['to', 'is', 'suggestion', 'want']	positive
3367	33	0	vibe	['and', 'is', 'fast', 'warm', 'the', 'ROOT', 'friendly', 'Best']	positive
3367	33	1	owner	['the', 'friendly']	positive
3367	33	2	service	['fast']	positive
2191	35	0	delivery	['on', 'the', 'rough']	negative
270	36	0	food	['From', 'the', 'miss', 'incredible']	positive
270	36	1	atmosphere	['to', 'the', 'warm', 'miss', 'service']	positive
270	36	2	service	['to', 'the', 'friendly', 'atmosphere']	positive
638	37	0	food	['prices', 'Great', 'ROOT']	positive
638	37	1	prices	['food', 'makes', 'at', 'REASONABLE']	positive
388	41	0	interior deco	['decor']	positive
388	41	1	prices	['affordable', 'city', 'decor', 'has']	positive
3373	43	0	wine	['Free', 'words']	positive
425	44	0	price	['The', 'reasonable']	positive
425	44	1	service	['poor', 'the']	negative
3192	45	0	quantity	['The', 'good']	positive
391	48	0	sushi	['lovers', 'bar']	neutral
391	48	1	sushi bar	['the', 'lovers', 'at', 'sat']	neutral
2384	50	0	fried rice	['The', 'amazing']	positive
2962	51	0	mussels	['and', 'cheese', 'include', 'salad', 'excellent']	positive
2962	51	1	puff pastry goat cheese	['mussels', 'include']	positive
2962	51	2	salad with a delicious dressing	['and', 'mussels', 'include', 'steak', 'poivre']	positive
2962	51	3	hanger steak au poivre	['a', 'that', 'delicious', 'dressing', 'world', 'include', 'with']	positive
2962	51	4	courses	['include', 'Three']	neutral
3404	52	0	indian food	['a', 'amanzing', 'have']	positive
2599	53	0	service	['the', 'prompt', 'curtious']	positive
2599	53	1	place	['The', 'cool']	positive
673	54	0	broth with noodles	['a', 'mild', 'left']	positive
648	55	0	meal	['a', 'such', 'delicious', 'have']	positive
648	55	1	money	['such', 'little', 'for', 'have']	positive
863	56	0	food	['The', 'come', 'delicious']	conflict
1623	57	0	wine list	['The', 'excellent']	positive
430	59	0	Thai food	['Ive', 'restaurants']	positive
1101	60	0	glass of wine	['finish', 'my']	neutral
324	62	0	specials	['the', 'were']	neutral
2783	63	0	lunch	['dinner', 'dine', 'for', 'or']	neutral
2783	63	1	dinner	['lunch', 'dine']	neutral
2783	63	2	dine	['to', 'dinner', 'place', 'lunch']	positive
2983	64	0	atmosphere	['pleasant', 'service', 'Nice']	positive
2983	64	1	service	['the', 'atmosphere']	positive
2983	64	2	desert	['the', 'good']	positive
627	66	0	bar	['the', 'enjoying', 'at']	positive
627	66	1	table	['a', 'at', 'sat']	neutral
627	66	2	dinner	['had']	neutral
3219	67	0	service	['food', 'and', 'chilled', 'Fabulous', 'ROOT']	positive
3219	67	1	food	['fantastic', 'service']	positive
3219	67	2	atmosphere	['and', 'environment', 'chilled', 'out']	positive
3219	67	3	environment	['chilled', 'atmosphere']	positive
2787	69	0	lasagnette appetizer	['Try', 'the']	positive
604	72	0	beer selection	['liked', 'the']	positive
2911	73	0	food	['menu', 'Great', 'setting', 'ROOT', 'service']	positive
2911	73	1	menu	['and', 'good', 'service', 'food', 'setting', 'size']	positive
2911	73	2	service	['food', 'menu', 'great']	positive
2911	73	3	setting	['food', 'menu', 'unpretensious', 'an']	positive
3074	74	0	dinner	['a', 'Go', 'romantic', 'for']	positive
3074	74	1	dining	['experience']	positive
1074	76	0	Dosa	['eating']	neutral
912	77	0	Wine list selection	['good']	positive
912	77	1	wine-by-the-glass	[]	positive
728	78	0	menu	['on', 'the', 'variety']	positive
2925	79	0	menu	['limited', 'The']	negative
2925	79	1	entrees	['5', '4', 'counted']	negative
3436	81	0	menu	['limited', 'The']	negative
3436	81	1	dishes	['of', 'the', 'all']	positive
3273	82	0	sake martini	['their', 'about', 'crazy']	negative
1215	83	0	bagels	['ROOT', 'Great', 'spreads', 'place', 'hang']	positive
1215	83	1	spreads	['and', 'hang', 'bagels', 'place']	positive
183	84	0	service	['The', 'varys']	conflict
282	86	0	table	['ot']	neutral
3249	89	0	food	['the', 'outstanding']	positive
3207	91	0	meal	['a', 'delicious', 'have']	positive
672	92	0	ingredients	['the', 'Dip']	neutral
672	92	1	chopsticks	['with', 'Dip', 'your', 'in']	neutral
2972	93	0	garden terrace	['enjoy', 'their']	positive
1755	96	0	pizza	['huge', 'The', 'good']	positive
2277	98	0	cuisine	['The', 'Taiwanese', 'gathered']	neutral
3680	101	0	atmosphere	['the', 'great']	positive
3155	102	0	service	['efficient', 'their', 'with']	positive
3155	102	1	crowded	['often', 'efficient', 'weekends', 'but', 'are', 'They', 'ROOT', 'accurate']	negative
1688	103	0	dish	['small', 'the', 'was']	negative
598	104	0	atmosphere	['The', 'unheralded']	positive
598	104	1	service	['impecible']	positive
598	104	2	food	['magnificant']	positive
2926	105	0	grilled branzino	['infused', 'the', 'ordered', 'special', 'that']	negative
3083	106	0	wait staff	['The', 'friendly']	positive
3083	106	1	food	['gotten', 'the']	positive
2977	108	0	vibe	['the', 'good']	positive
2977	108	1	French food	['good', 'is', 'it', 'best', 'the', 'find', 'packed']	positive
2977	108	2	packed	['be', 'good', 'may', 'weekends', 'It', 'but', 'food', 'bit', 'ROOT']	negative
2604	111	0	pizza	['with', 'good', 'place']	positive
2604	111	1	place	['a', 'Right', 'cozy', 'this', 'is', 'nice', 'ROOT', 'pizza']	positive
2960	114	0	pre-theater menu	['a', 'pre', '$', 'outstanding', 'that', 'has']	positive
1383	116	0	delivery	['ordered', 'for']	negative
1383	116	1	order	['the', 'half', 'forgot']	negative
892	117	0	server	['Our', 'checked']	negative
892	117	1	meal	['during', 'the', 'checked', 'entire']	neutral
2936	120	0	scents	['The', 'strong', 'affected', 'coming']	negative
3423	121	0	lobster sandwich	['the', 'had']	positive
1197	124	0	check	['a', 'yet']	negative
2274	126	0	Spider Roll	['the', 'look']	conflict
2274	126	1	price	['pay', 'the', 'worth']	positive
2274	126	2	shell crab	['soft', 'with', 'look', 'hanging']	positive
2804	127	0	Deep Fried Skewers	['good', 'rare', 'find']	positive
194	128	0	reservations	['make']	neutral
194	128	1	hostess	['the', 'have']	negative
148	129	0	rice dishes	['porridge', 'the', 'or', 'varieties', 'recommend']	positive
148	129	1	congee (rice porridge)	['porridge', 'of', 'varieties']	positive
2747	130	0	tuna tartar appetizer	['die', 'is', 'Their']	positive
856	133	0	Food	['uneven', 'reaches']	conflict
856	133	1	chef	['passion', "'s"]	positive
856	133	2	fish dishes	['and', 'soups', 'the', 'evident', 'in']	positive
856	133	3	soups	['evident', 'dishes']	positive
856	133	4	kitchen	['execution']	positive
856	133	5	cuisine	['of', 'American', 'passion', 'new', 'fine', 'pinnacles']	positive
2033	134	0	wine	['and', 'cheese', 'fare', 'love']	positive
2033	134	1	french fare	['love', 'delicious', 'wine']	positive
2033	134	2	cheese	['love', 'wine']	positive
1402	135	0	Indian food	['love']	positive
439	136	0	baby pizzas	['Some', 'get']	neutral
2053	140	0	waiting	['even', 'though', 'ya', 'is', 'there', 'deff']	negative
3316	141	0	lava cake dessert	['The', 'incredible']	positive
433	142	0	baby pizzas	['hope']	neutral
738	143	0	service	['From', 'food', 'terrible', 'horrible', 'the', 'unaccommodating']	negative
738	143	1	food	['service', 'bland', 'to', 'not', 'the', 'unaccommodating']	negative
738	143	2	managers	['unaccommodating']	negative
1549	144	0	food	['cheap', 'some', 'amount', 'tasty', 'of', 'need']	positive
1549	144	1	food	['cheap', 'some', 'amount', 'tasty', 'of', 'need']	positive
1798	145	0	table	['a', 'at', 'seated', 'corridor']	negative
2941	146	0	selection of wines	['good', 'ROOT', 'ranging']	positive
362	147	0	Italian decor	['with', 'Nice', 'upscale', 'classic']	positive
2921	148	0	food	['impressed', 'the', 'with']	negative
1909	149	0	dining experience	['entire', 'The', 'wonderful']	positive
1878	150	0	wine selection	['glass', 'The', 'wonderful', 'bottle']	positive
1878	150	1	reservation	['a', 'make']	neutral
858	151	0	Service	['refined']	positive
858	151	1	maitre	["d'"]	positive
858	151	2	reservation	['past', 'our', 'delayed']	negative
3376	152	0	panang duck	['the', 'Order']	positive
173	153	0	Food	['good']	conflict
173	153	1	raw vegatables	['of', 'freshmess']	negative
1836	154	0	service	['the', 'Other', 'than', 'individuals', 'crappy']	negative
1404	157	0	Indian	['prices', 'authentic', 'have']	positive
1404	157	1	prices	['amazin', 'Indian', 'at']	positive
1819	160	0	Ambiance	['relaxed']	positive
2639	162	0	BBQ Salmon	['and', 'Bass', 'for', 'Duck', 'the', 'saved']	positive
2639	162	1	Sea Bass	['saved', 'Salmon']	positive
2639	162	2	Crispy Duck	['Salmon', 'saved']	positive
1474	163	0	ingredients	['even', 'use', 'make', 'fancy']	positive
1474	163	1	ingredients	['even', 'use', 'make', 'fancy']	positive
1474	163	2	pizza	['make', 'good', 'for']	negative
1474	163	3	crust	['right']	neutral
2059	165	0	kababs	['all', 'dam', 'is', 'so', 'are', 'the']	positive
2059	165	1	Dal Bukhara	['yes', 'is']	positive
926	166	0	eating	['to', 'look', 'here', 'again']	positive
2385	167	0	taste	['the', 'come', 'for']	positive
2498	168	0	meal	['a', 'price', 'good', 'have']	positive
2498	168	1	price	['a', 'at', 'fair', 'meal']	positive
2469	169	0	glass of prosecco	['A', 'a', 'Lizard', 'had', 'Leaping']	positive
2469	169	1	mussels	['Lizard', 'the', 'Leaping']	positive
2469	169	2	glass of Leaping Lizard	['A', 'a', 'and', 'mussels', 'had', 'prosecco']	positive
567	170	0	Food	['average']	neutral
567	170	1	creme brulee	['awful']	negative
567	170	2	sugar	['smelled', 'the', 'caramelized']	negative
3517	171	0	food	['served', 'The', 'tastes']	positive
3517	171	1	served	['food', 'tastes', 'promptly']	positive
1599	173	0	pizza	['The', 'delicious']	positive
2548	176	0	Pizza	['and', 'knots', 'great']	positive
2548	176	1	delivery	['!', 'the']	positive
2548	176	2	garlic knots	['great', 'Pizza']	positive
759	177	0	chinese food	['great', 'For', 'have']	positive
3175	178	0	service	['about', 'anything']	neutral
2209	179	0	food	['the', 'restaurant']	negative
1352	181	0	chef	['to', 'the', 'Hats']	positive
3537	183	0	Service	['improved']	negative
3537	183	1	teapot	['heavy', 'antique', 'things', 'one', 'black', 'the']	positive
1743	185	0	pizza	['The', 'delicious']	positive
1743	185	1	fresh mozzarella	['cheese', 'use']	positive
1743	185	2	cheese	['frozen', 'shredded', 'cheap', 'common', 'instead', 'the', 'mozzarella']	negative
1321	186	0	place	['an', 'Its', 'excellent']	positive
1321	186	1	food	['the', 'one']	positive
2907	187	0	service	['had', 'friendly']	positive
2907	187	1	getting a table	['problem', 'walking']	positive
1890	188	0	atmosphere	['The', 'crowded']	conflict
1890	188	1	bistro-type vibe	['a', 'bistro', 'great', 'crowded', 'it', 'was']	positive
2588	190	0	waitress	['the', 'unattentive']	negative
2588	190	1	tables	['6', 'with', 'restaurant']	neutral
3130	192	0	food	['bland', 'The']	negative
709	194	0	prices	['affordable', 'the']	positive
709	194	1	food	['the', 'good']	positive
1198	195	0	fish	['fresh', 'The', 'of', 'variety']	positive
1198	195	1	variety of fish	['fresh', 'The', 'the', 'ordinary']	negative
2302	198	0	pesto pizza	['a', 'and', 'salad', 'is', 'bottle', 'ROOT', 'meal']	positive
2302	198	1	house salad	['the', 'pizza']	positive
2302	198	2	bottle of wine	['a', 'good', 'pizza']	positive
2302	198	3	meal	['Our', 'favorite', 'pizza']	positive
1110	199	0	bartender	['And', 'is', 'Kruno', 'have', 'the', 'ROOT', 'best']	positive
1110	199	1	beverage manager	['the', 'Kruno']	positive
973	200	0	Ambiance	['and', 'funky', 'music']	positive
973	200	1	music	['funky', 'Ambiance']	positive
2132	201	0	food	['and', 'The', 'best', 'service', 'drinks']	positive
2132	201	1	drinks	['food', 'best']	positive
2132	201	2	service	['food', 'best']	positive
231	202	0	food	['bite', 'some', 'afternoon', 'for', 'size']	neutral
231	202	1	refleshment	['date', 'went', 'afternoon']	neutral
250	204	0	ambiance	['alluring', 'for', 'service', 'the', 'come', 'or']	positive
250	204	1	service	['star', 'ambiance', 'five', 'the', 'come', 'featuring']	positive
250	204	2	foods	['authentic', 'the', 'come', 'for']	positive
250	204	3	tastes	['the', 'come', 'experiance']	positive
250	204	4	sommlier	['a', 'featuring']	positive
250	204	5	captain	['and', 'back', 'waiters']	positive
250	204	6	back waiters	['of', 'captain', 'maze']	positive
2988	207	0	waitress	['the', 'come']	negative
3092	208	0	tandoori salmon	['!']	positive
3686	210	0	atmosphere	['the', 'saves']	positive
1922	211	0	space	['Granted', 'smaller', 'the']	negative
1922	211	1	service	['smaller', 'is', 'it', 'the', 'ROOT', 'find', 'best']	positive
2454	214	0	atmorphere	['the', 'love', 'peep']	positive
603	220	0	service	['The', 'attentive']	positive
603	220	1	menu items	['of', 'suggestions']	positive
678	221	0	three course meal	['the', '30', 'had', '$']	positive
1830	223	0	Pizza	['!']	positive
2521	225	0	environment	['The', 'romantic']	positive
2521	225	1	food	['the', 'horrible']	negative
2521	225	2	service	['the', 'pathetic']	negative
1918	226	0	crawfish boiled	['and', 'ton', 'We', 'ROOT', 'had']	positive
2930	227	0	reservation	['a', 'made']	neutral
887	229	0	table	['to', 'came', 'our']	neutral
2448	230	0	Pad Thai	['the', 'had']	negative
2448	230	1	noodles	['the', 'sticky']	negative
3244	231	0	delivered	['I', 'had', 'M', 'it', "'ve", 'times']	neutral
1478	232	0	values for your money	['of', 'the', 'best', 'one']	positive
1413	233	0	lunch	['for', 'here']	positive
3129	234	0	hostess	['The', 'rude']	negative
2271	235	0	food	['great', 'especially', 'for', 'craving', 'Haru', 'Roll']	positive
2271	235	1	wait building	['outisde']	negative
1554	236	0	corridor	['A', 'leads', 'narrow']	negative
1554	236	1	space	['a', 'to', 'tiny', 'leads']	negative
1554	236	2	counters	['and', 'deal', 'counter', 'three', 'tiny', 'are', 'white', 'tiled']	negative
1554	236	3	counter	['a', 'small', 'are', 'holding', 'counters']	negative
1554	236	4	entrees	['12', 'holding']	neutral
2306	237	0	food	['The', 'great']	positive
1975	238	0	steaks	['Succulent', 'cooked']	positive
1975	238	1	salads	['and', 'look', 'that', 'sides', 'accompanied', 'by']	positive
1975	238	2	sides	['accompanied', 'salads', 'look']	positive
3699	239	0	Lunch	['came']	positive
3699	239	1	pickels and slaw	['charge', 'with', 'came']	neutral
2875	240	0	wine	['prices', 'Decent', 'ROOT']	positive
2875	240	1	prices	['at', 'reasonable', 'wine']	positive
2303	241	0	delivered	['ROOT', 'conveniently', 'right', 'door']	positive
2513	242	0	wine by the glass	['even', 'good']	positive
809	244	0	price	['tried', 'for', 'that']	negative
141	245	0	dish	['This', 'favorite']	positive
3655	246	0	Change Mojito	['world', 'the', 'ordered', 'which']	positive
2098	247	0	service	['Okay', 'ROOT']	neutral
1624	248	0	food	['the', 'wonderful', 'than']	positive
1624	248	1	service	['thing', 'is', 'ROOT', 'the']	positive
2377	250	0	food	['awful', 'The']	negative
338	252	0	soup for the udon	['The', 'sauce']	negative
338	252	1	soy sauce	['and', 'water', 'ROOT', 'was', 'soup']	neutral
338	252	2	water	['sauce']	neutral
1630	253	0	anti-pasta	[]	positive
1630	253	1	calamari	['the', 'mains', 'especially', 'excellent']	positive
1630	253	2	filling pasta mains	['as', 'calamari', 'the', 'were']	positive
1907	254	0	waitress	['suggested', 'The']	positive
1907	254	1	food	['the', 'with', 'went']	neutral
1907	254	2	glasses of wine	['suggested', 'went', 'that']	positive
1535	257	0	food	['their', 'says']	positive
1535	257	1	counter	['the', 'at', 'business']	negative
3202	258	0	sushi	['dumplings', 'mix', 'about', 'particular']	positive
3202	258	1	ceviche mix (special)	['dumplings', 'sushi', 'please', 'sashimi', 'included', 'choice', 'rolls', 'special']	positive
3202	258	2	crab dumplings	['and', 'mix', 'sushi', 'rolls', 'sashimi']	positive
3202	258	3	assorted sashimi	['dumplings', 'mix']	positive
3202	258	4	sushi	['dumplings', 'mix', 'about', 'particular']	positive
3202	258	5	rolls	['dumplings', 'mix']	positive
3202	258	6	sake	['of', 'types']	positive
3202	258	7	banana tempura	['included', 'the', 'please', 'choice']	positive
449	259	0	plain pizza	['Try', 'their']	positive
449	259	1	garlic	['Try', 'fresh', 'with', 'or', 'eggplant']	positive
449	259	2	eggplant	['Try', 'garlic']	positive
927	261	0	servers	['Ok', 'crowd', 'so', "'s", 'the', 'wander']	negative
927	261	1	servers	['Ok', 'crowd', 'so', "'s", 'the', 'wander']	conflict
585	262	0	getting a table	['luck']	negative
345	266	0	service	['awful', 'The']	negative
1494	269	0	takeout menu	['says', 'offering', 'expanded', 'keep', 'The', 'an']	positive
1494	269	1	menu	['says', 'offering', 'expanded', 'an', 'takeout', 'The', 'keep']	positive
1494	269	2	italian dishes	['offering', 'more']	positive
3194	275	0	Thai food	['to', 'comes']	neutral
2393	277	0	hostess	['the', 'take', 'tell']	positive
1278	278	0	pizza	['The', 'good']	positive
2201	279	0	bottles of wine	['good', 'cheap']	positive
620	282	0	beers	['over', '100', 'have', 'different']	positive
620	282	1	food	['the', 'delicious']	positive
620	282	2	pumkin tortelini	['dish', 'be', 'the', 'it', 'must']	positive
620	282	3	dish	['a', 'tortelini', 'recommend']	positive
3541	283	0	dinner special	['the', 'give']	negative
865	284	0	crabmeat lasagna	['dessert', 'the', 'which', 'have']	positive
865	284	1	chocolate bread pudding	['dessert', 'the', 'world']	positive
865	284	2	dessert	['world', 'is', 'lasagna', 'pudding', 'for']	positive
375	285	0	pasta dishes	['save', 'for']	positive
375	285	1	tiramisu	['the', 'had']	positive
2126	286	0	service	['prices', 'and', 'good']	positive
2126	286	1	prices	['Very', 'good', 'service']	positive
2078	287	0	lunch	['co', 'for']	neutral
846	288	0	service	['The', 'impeccable', 'unobtrusive']	positive
846	288	1	staff	['the', 'knows']	positive
846	288	2	menu	['their', 'know']	neutral
846	288	3	meal	['your', 'present']	neutral
2158	289	0	bagel	['Ess', 'far', 'is', 'NY', 'the', 'ROOT', 'by', 'best']	positive
1578	290	0	food	['Our', 'great']	positive
1319	292	0	servers	['the', 'seem', 'trained', 'drive']	negative
1175	293	0	food	['go', 'your', 'Get']	neutral
1175	293	1	plate of dumplings	['a', 'with', 'kick']	positive
1115	294	0	Filet Mignon	['try', 'the', 'piece']	positive
34	296	0	sangria	['the', 'drank']	neutral
34	296	1	bar	['from', 'sitting', 'turned', 'facing', 'at', 'the']	neutral
34	296	2	bar	['from', 'sitting', 'turned', 'facing', 'at', 'the']	neutral
34	296	3	bartender	['the', 'took']	negative
395	298	0	sake menu	['The', 'overlooked']	positive
3102	301	0	drinks	['the', 'amazing']	positive
984	302	0	beef cubes	['the', 'for', 'times']	positive
1969	305	0	service	['deserve', 'The', 'selection', 'outstanding']	positive
1969	305	1	wine selection	['service']	positive
1969	305	2	ambiance	['outstanding']	positive
763	308	0	reservations	['had']	positive
763	308	1	service	['the', 'slow']	negative
754	310	0	service	['and', 'good', "'s", 'It', 'also', 'the', 'ROOT', 'friendly', 'really']	positive
754	310	1	waiters	['the', 'friendly']	positive
691	312	0	food	['The', 'good', 'flavorless']	conflict
691	312	1	dessert	['including', 'portions']	negative
691	312	2	portions	['small', 'dessert', 'the', 'good']	negative
999	314	0	traffic noise	['is', 'no']	positive
247	318	0	food	['the', 'comparable']	positive
2823	319	0	food	["'s", 'Bart', 'service', 'for', 'their', 'recommend']	positive
2823	319	1	ambience	['and', 'wonderful', 'service']	positive
2823	319	2	service	['ambience', 'food', 'the', 'wonderful']	positive
2649	324	0	dinner meeting	['host', 'an', 'intimate']	neutral
2396	325	0	atmosphere	['a', 'fun', 'makes', 'young', 'for']	positive
139	326	0	food	['The', 'does']	positive
139	326	1	Cantonese	['is', 'name', 'that']	positive
841	327	0	cooking	['about', 'the', 'stands']	neutral
3477	328	0	food	['and', 'decent', 'atmosphere', 'with', 'spot']	positive
3477	328	1	atmosphere	['a', 'food', 'relaxed', 'spot', 'colorful']	positive
90	330	0	Prix Fixe menu	['The', 'penny']	positive
90	330	1	quantity	['AND', 'both', 'quality', 'in']	positive
90	330	2	quality	['both', 'quantity']	positive
298	331	0	lunch	['times']	neutral
1104	332	0	eggs benedict	['their', 'had']	negative
1104	332	1	hollondaise sauce	['removing', 'completely', 'was', 'the', 'that']	negative
1104	332	2	brunch	['had', 'worst', 'for', 'which']	neutral
2563	333	0	oatmeal	['item', 'the', 'neighborhood', 'BEST', 'have']	positive
2790	335	0	food	['bad', 'the', 'heritage']	negative
323	336	0	menu	['looked', 'The']	positive
323	336	1	Chilean Sea Bass	['the', 'offering']	negative
323	336	2	server	['the', 'offer']	negative
323	336	3	specials	['the', 'offer', 'written', 'that']	neutral
1891	338	0	food	['The', 'good']	positive
1891	338	1	onion soup	['the', 'had']	positive
3451	341	0	wine	['and', 'including']	neutral
1551	342	0	staff	['the', 'friendly', 'welcomes']	positive
3146	343	0	Dim Sum	['not', 'place', 'for', 'that']	negative
3146	343	1	dinner	['reviews', 'for']	positive
1785	344	0	roll	['a', 'into', 'an', 'turn', 'regular', 'the', 'inside', 'more']	negative
1785	344	1	roll	['a', 'into', 'an', 'turn', 'regular', 'the', 'inside', 'more']	negative
1785	344	2	roll	['a', 'into', 'an', 'turn', 'regular', 'the', 'inside', 'more']	negative
1785	344	3	rice	["'s", 'just', 'that', 'costs', 'not', 'from', 'the']	neutral
3650	347	0	gin and tonic	['a', 'find']	neutral
3650	347	1	tonic	['gin', 'find']	neutral
2084	349	0	dim sum	['taste', 'The', 'ok']	negative
2084	349	1	little dishes	['the', 'look']	negative
3193	355	0	service	['The', 'ok']	neutral
2212	357	0	Thai	['good', 'authentic', 'want']	negative
3426	358	0	reservation	['a', 'getting']	neutral
1138	359	0	Grilled Chicken special with Edamame Puree	['their', 'ROOT', 'was', 'thing']	neutral
128	361	0	roast duck	['pork', 'some', 'chicken', 'want', 'or']	positive
128	361	1	pork	['want', 'duck']	positive
128	361	2	chicken on rice with ginger	['want', 'duck']	positive
1008	362	0	menu	['a', 'from', 'order']	negative
2124	367	0	Staff	['accomodating']	positive
1950	371	0	reservation	['an', 'for', '8:00', 'boyfriend']	neutral
1133	373	0	dinner	['have']	neutral
2801	376	0	Sake	['and', 'small', 'portion']	positive
2801	376	1	dishes	['sake', 'of', 'portion']	positive
2801	376	2	portion	['Sake', 'small', 'dishes', 'Izakaya']	neutral
224	379	0	food	['The', 'service']	positive
224	379	1	service	['overbearing', 'food', 'ROOT', 'terrific', 'the', 'attentive', 'was']	positive
2434	380	0	roti rolls	['try', 'some']	positive
459	381	0	ingredients	['and', 'Fresh', 'made', 'everything']	positive
3042	382	0	meal	['the', 'tip', 'charging', 'or']	positive
3042	382	1	food	['delivered', 'the']	positive
3042	382	2	tip	['the', 'charging', 'meal']	positive
152	383	0	service	['Quick', 'friendly']	positive
2426	385	0	meat	['with', 'eating']	neutral
494	388	0	hot dogs	['Try', 'the']	positive
1033	389	0	Delivery	['is']	positive
2486	391	0	noise level	['impossible', 'The']	negative
2307	392	0	Personal pans	['size']	positive
1646	393	0	Spicy Fried Clam Rolls	['and', 'is', 'Spider', 'recommended', 'the', 'ROOT']	positive
1646	393	1	Spider Rolls	['and', 'Spicy', 'is', 'recommended', 'Clam', 'the', 'Fried', 'ROOT']	positive
3255	394	0	menu	['on', 'the', 'going', 'with', 'way']	positive
318	397	0	atmosphere	['The', 'great']	positive
198	399	0	place	['The', 'attracts']	positive
1269	401	0	FOOD	['ABOUT']	neutral
2062	403	0	lunch	['got', 'Tamarind', 'from']	positive
3557	404	0	food quality	['in', 'st']	positive
38	405	0	man	['The', 'sat', 'hosting', 'that']	negative
38	405	1	table	['a', 'saving', 'very', 'at', 'sat', 'the', 'save', 'mean']	neutral
38	405	2	table	['a', 'saving', 'very', 'at', 'sat', 'the', 'save', 'mean']	negative
1957	406	0	cheesecake	['Try', 'the']	positive
1542	407	0	food	['subpar', 'the', 'eating']	negative
1542	407	1	employees	['of', 'couple', 'his']	negative
1542	407	2	containers for condiments	['these', 'wrong', 'putting', 'the', 'were']	negative
1542	407	3	containers	['condiments', 'these', 'wrong', 'putting', 'were', 'the']	neutral
1542	407	4	manager	['the', 'explained', 'proceeded', 'berate']	negative
2328	410	0	Indian food	['and', 'Great', 'service', 'incredible']	positive
2328	410	1	service	['food', 'the', 'incredible']	positive
504	414	0	Decor	['minimalist', 'nice']	positive
504	414	1	food	['simple', 'matches', 'the']	positive
504	414	2	wine list	['matches', 'the']	positive
504	414	3	food	['simple', 'matches', 'the']	neutral
1853	415	0	salmon dish	['the', 'had']	conflict
1853	415	1	flavor	['of', 'type']	negative
1853	415	2	price	['the', 'fine', 'for', 'paid']	neutral
1538	416	0	tuna melt	['a', 'sandwich', 'ordered']	negative
1538	416	1	cheese	['made', 'with', 'came', 'which', 'out']	neutral
1538	416	2	tuna sandwich	['a', 'made', 'melt']	negative
2482	417	0	chicken tikka	['and', 'liked', 'naan', 'dals']	positive
2482	417	1	naan	['tikka', 'the', 'liked']	positive
2482	417	2	dals	['tikka', 'the', 'liked']	positive
791	418	0	waiters	['The', 'attentive']	negative
791	418	1	bill	['the', 'turned']	negative
998	419	0	lawns	['beautiful', 'and', 'over', 'green', 'looks', 'Statue', 'River']	positive
2872	420	0	staff	['enjoy', 'whom', 'the', 'young', 'have']	conflict
2607	423	0	sangria	['The', 'good', 'tasty']	positive
1272	424	0	thai food	['starving', 'for']	negative
3578	426	0	food	['great', 'want', 'service']	negative
3578	426	1	service	['food', 'great', 'plus']	negative
572	427	0	ravioli	['the', 'had', 'best']	positive
2500	428	0	menu	['groundbreaking', 'the']	conflict
45	429	0	service	['the', 'now', 'bunch']	positive
